wavelength_A	flux_0Myr	flux_10Myr	flux_20Myr	flux_30Myr	flux_40Myr	flux_50Myr	flux_60Myr	flux_70Myr	flux_80Myr	flux_90Myr	flux_100Myr	flux_200Myr	flux_300Myr	flux_400Myr	flux_500Myr	flux_600Myr	flux_700Myr	flux_800Myr	flux_900Myr	flux_1000Myr
7936.0	1.3114234588011534e+41	7.407815247506252e+40	4.1370343622510247e+40	3.1582533456401574e+40	2.6668352658250093e+40	2.2501800949822457e+40	1.883431399857901e+40	1.883431399857901e+40	1.6454981704467212e+40	1.4644399628454287e+40	1.4644399628454287e+40	1.0134310752764503e+40	8.089811001855853e+39	6.71252181458943e+39	5.943391651603553e+39	5.267951961174465e+39	5.267951961174465e+39	4.6719750314699337e+39	4.1597957051351064e+39	4.1597957051351064e+39
7941.0	1.3107403625057893e+41	7.361943597431685e+40	4.10770011170832e+40	3.1369163252915667e+40	2.649468470927389e+40	2.236345936157848e+40	1.8724893427117834e+40	1.8724893427117834e+40	1.636274482135262e+40	1.4569086930999383e+40	1.4569086930999383e+40	1.0092685109945773e+40	8.052137069647986e+39	6.677297074142387e+39	5.909799392676656e+39	5.235263792425574e+39	5.235263792425574e+39	4.6424148747266916e+39	4.1359080843080856e+39	4.1359080843080856e+39
7946.0	1.3096911913496698e+41	7.357963167390817e+40	4.1048039346060875e+40	3.134594324161068e+40	2.647065828966143e+40	2.234192245583588e+40	1.8706298271054638e+40	1.8706298271054638e+40	1.6345824147309027e+40	1.455786721845178e+40	1.455786721845178e+40	1.0093580307629029e+40	8.051932736987747e+39	6.674654075750014e+39	5.907016094681181e+39	5.231512216797602e+39	5.231512216797602e+39	4.63970370027698e+39	4.1375211693028817e+39	4.1375211693028817e+39
7951.0	1.3083344330159663e+41	7.392598907621729e+40	4.1264134646615996e+40	3.151040575185581e+40	2.6600385059780965e+40	2.244497777172943e+40	1.8786409071432138e+40	1.8786409071432138e+40	1.6412477034082092e+40	1.461839398112345e+40	1.461839398112345e+40	1.0139128564071666e+40	8.087163574317357e+39	6.702530492683908e+39	5.932266260012486e+39	5.252790529145674e+39	5.252790529145674e+39	4.6583746518837157e+39	4.157362756703884e+39	4.157362756703884e+39
7956.0	1.3066729242161152e+41	7.419007532794837e+40	4.145349585369831e+40	3.16653263404722e+40	2.6726518790907086e+40	2.25452153132261e+40	1.886311564201912e+40	1.886311564201912e+40	1.6476129776340452e+40	1.4673493133388013e+40	1.4673493133388013e+40	1.0175156322192338e+40	8.111072355466462e+39	6.720270204757406e+39	5.94688693742849e+39	5.262407054507231e+39	5.262407054507231e+39	4.6646998861107166e+39	4.165400312115004e+39	4.165400312115004e+39
7961.0	1.3052771829016948e+41	7.435949361979823e+40	4.159103894636367e+40	3.1776827040520934e+40	2.681736896604054e+40	2.261392851191514e+40	1.8913384166813357e+40	1.8913384166813357e+40	1.6516605997921876e+40	1.4704006921712765e+40	1.4704006921712765e+40	1.0193516143118348e+40	8.121866873339086e+39	6.727259137823938e+39	5.951356568354846e+39	5.263394757110844e+39	5.263394757110844e+39	4.663282929066736e+39	4.1654658498926316e+39	4.1654658498926316e+39
7966.0	1.3046368965301859e+41	7.466438157673524e+40	4.178464280646605e+40	3.1915354251838265e+40	2.6927616696074703e+40	2.2696774746241465e+40	1.897427527852341e+40	1.897427527852341e+40	1.656475646843176e+40	1.4739811850170335e+40	1.4739811850170335e+40	1.0223235731060529e+40	8.144523878638901e+39	6.744399841044499e+39	5.96536469191032e+39	5.2751449464146983e+39	5.2751449464146983e+39	4.6725586426978444e+39	4.1737884657147464e+39	4.1737884657147464e+39
7971.0	1.3043094309946506e+41	7.484011138550926e+40	4.1875305109829027e+40	3.197741085940581e+40	2.697751482612728e+40	2.2737527493573616e+40	1.900735942238945e+40	1.900735942238945e+40	1.6593256220087775e+40	1.476545302850381e+40	1.476545302850381e+40	1.0249290839266132e+40	8.165221704752495e+39	6.761009407299299e+39	5.979552143874856e+39	5.287589826568872e+39	5.287589826568872e+39	4.6831963551506763e+39	4.183148304898764e+39	4.183148304898764e+39
7976.0	1.3037245978665255e+41	7.478936744992813e+40	4.183285961032578e+40	3.19469914903641e+40	2.695482780835656e+40	2.272430841093519e+40	1.9001780248827512e+40	1.9001780248827512e+40	1.659253576104202e+40	1.47704293860824e+40	1.47704293860824e+40	1.0256626172987345e+40	8.17191565116205e+39	6.767196983391866e+39	5.985344164638178e+39	5.292818270403052e+39	5.292818270403052e+39	4.688045555586047e+39	4.1875322583794285e+39	4.1875322583794285e+39
7981.0	1.3029874439356534e+41	7.465366500405564e+40	4.1759382038680077e+40	3.189611525109243e+40	2.6914477768843674e+40	2.2693587364263903e+40	1.8978472709197533e+40	1.8978472709197533e+40	1.6574020857809965e+40	1.4757388105861618e+40	1.4757388105861618e+40	1.0247910422731037e+40	8.166582926588578e+39	6.764079643994275e+39	5.983941258096321e+39	5.293150478641905e+39	5.293150478641905e+39	4.6895173559814e+39	4.18855280603886e+39	4.18855280603886e+39
